"depth","age","d13c","d18o","auth"
321.04,14081,1.184,1.909,"Tian"
321.24,14093.1,1.183,1.528,"Tian"
321.44,14105.1,1.19,1.53,"Tian"
321.54,14111.2,1.337,1.329,"Tian"
321.64,14115.9,1.337,1.537,"Tian"
321.84,14125.4,1.03,1.147,"Tian"
321.94,14130.1,1.131,1.112,"Tian"
322.04,14134.9,1.74,1.294,"Tian"
322.24,14144.3,1.533,1.182,"Tian"
322.34,14149.8,1.379,1.122,"Tian"
322.44,14159,1.629,1.394,"Tian"
322.64,14177.5,0.869,1.902,"Tian"
322.74,14186.7,1.559,1.371,"Tian"
